week_year,Conspiracies,Alternative Treatments/Prevention,Disease Severity,Vaccine Efficacy/Side Effects,Government Policy/Response,Testing
2020-03,0,0,0,0,0,0
2020-04,1,0,0,0,0,0
2020-05,0,0,0,0,0,0
2020-06,0,0,0,0,0,0
2020-07,0,0,0,0,0,0
2020-08,0,0,0,0,0,0
2020-09,0,0,0,0,0,0
2020-10,1,0,0,0,0,0
2020-11,0,1,0,0,0,0
2020-12,1,0,1,0,0,0
2020-13,0,1,0,0,0,0
2020-14,0,1,0,0,0,0
2020-15,0,0,1,0,0,0
2020-16,0,0,0,0,0,0
2020-17,1,1,1,0,0,0
2020-18,0,2,0,1,0,0
2020-19,0,1,1,0,0,0
2020-20,0,0,0,0,2,0
2020-21,0,0,3,0,1,0
2020-22,2,0,0,0,0,0
2020-23,0,0,0,0,0,0
2020-24,0,1,0,0,0,0
2020-25,0,0,0,0,0,0
2020-26,0,2,1,0,0,0
2020-27,0,7,3,0,0,2
2020-28,0,5,1,0,0,0
2020-29,0,6,3,0,0,0
2020-30,0,11,2,0,0,0
2020-31,0,24,0,0,0,0
2020-32,1,15,3,1,0,0
2020-33,0,8,2,0,0,0
2020-34,0,3,0,1,0,0
2020-35,0,8,0,0,0,0
2020-36,0,3,2,0,0,0
2020-37,0,1,1,0,0,0
2020-38,0,0,0,0,0,0
2020-39,0,2,1,0,0,0
2020-40,2,8,2,0,0,0
2020-41,1,0,0,0,0,0
2020-42,0,0,0,0,0,0
2020-43,1,1,0,0,0,0
2020-44,0,1,0,0,0,0
2020-45,0,1,0,0,0,0
2020-46,0,3,0,0,0,0
2020-47,1,3,1,0,0,0
2020-48,0,1,0,0,0,0
2020-49,0,2,0,0,0,0
2020-50,1,2,1,1,1,0
2020-51,1,7,1,0,0,1
2020-52,1,4,0,0,0,1
2021-01,1,4,0,0,1,0
2021-02,0,1,0,0,0,0
2021-03,0,1,0,0,0,0
2021-04,1,0,0,0,0,0
2021-05,0,2,0,0,0,0
2021-06,1,3,0,0,0,0
2021-07,0,1,0,2,0,0
2021-08,2,2,1,0,0,0
2021-09,4,2,0,0,0,0
2021-10,1,6,0,1,0,0
2021-11,1,2,2,1,0,0
2021-12,2,4,0,1,0,0
2021-13,0,5,0,0,1,0
2021-14,2,2,0,0,0,0
2021-15,2,3,0,0,0,0
2021-16,0,5,0,1,2,0
2021-17,1,3,0,1,0,0
2021-18,1,3,0,0,0,0
2021-19,0,3,0,2,0,0
2021-20,1,3,0,2,0,0
2021-21,1,6,1,0,0,0
2021-22,4,8,1,0,0,0
2021-23,10,11,0,0,0,0
2021-24,4,6,0,0,0,0
2021-25,3,8,1,3,0,0
2021-26,4,4,0,1,2,0
2021-27,2,4,1,0,0,0
2021-28,3,4,0,1,0,0
2021-29,3,3,0,2,0,0
2021-30,4,10,1,3,1,0
2021-31,3,11,0,2,1,0
2021-32,0,8,0,3,3,0
2021-33,1,1,0,2,1,0
2021-34,0,6,0,3,2,0
2021-35,1,6,0,1,0,0
2021-36,1,7,0,1,3,0
2021-37,0,5,1,1,0,0
2021-38,1,5,0,4,4,0
2021-39,1,5,0,2,1,0
2021-40,2,4,2,1,0,0
2021-41,0,6,2,2,2,0
2021-42,1,2,0,1,2,0
2021-43,0,3,1,3,1,0
2021-44,2,2,1,1,0,0
2021-45,3,3,0,2,0,0
2021-46,1,1,0,2,2,0
2021-47,3,3,0,2,1,0
2021-48,1,9,2,6,0,0
2021-49,1,6,0,3,3,0
2021-50,1,5,0,0,1,0
2021-51,2,7,0,4,2,0
2021-52,0,12,3,1,0,0
2022-01,2,4,3,8,0,0
2022-02,0,3,1,2,1,0
2022-03,0,1,0,1,0,0
